,LatitudeDegree,LongitudeDegree
0,37.41583193333334,-122.07916033333335
1,37.41576885,-122.0792315
2,37.415809716666665,-122.07921616666665
3,37.4158082,-122.07920899999999
4,37.415777283333334,-122.07919533333333
5,37.41578271666666,-122.07919766666667
6,37.41575851666666,-122.07915249999999
7,37.415768533333335,-122.07914266666667
8,37.4157877,-122.07917716666667
9,37.415774283333334,-122.07913483333331
10,37.415743150000004,-122.0791175
11,37.41575603333333,-122.07915566666667
12,37.41581306666667,-122.07923783333332
13,37.415829466666665,-122.07926866666666
14,37.4158222,-122.07927616666666
15,37.41582523333333,-122.07927399999998
16,37.41582525,-122.07927450000001
17,37.415824150000006,-122.07928016666668
18,37.41582161666667,-122.07928716666666
19,37.4158251,-122.07929833333334
20,37.415828966666666,-122.07930499999999
21,37.41583366666667,-122.07931466666666
22,37.415840333333335,-122.07932283333334
23,37.415846933333334,-122.07932966666667
24,37.41584866666667,-122.07933016666667
25,37.41585388333333,-122.07932983333333
26,37.41585703333333,-122.07933499999999
27,37.41586313333333,-122.07934183333333
28,37.415863716666664,-122.0793405
29,37.41585956666667,-122.07933900000002
30,37.41585501666667,-122.07934099999999
31,37.41585005,-122.07933833333333
32,37.41584481666666,-122.07933566666667
33,37.41584305,-122.07933683333334
34,37.41584066666667,-122.07933466666667
35,37.415838533333336,-122.07933216666667
36,37.41583475,-122.07933516666665
37,37.41583086666667,-122.07933116666666
38,37.41582668333333,-122.07933550000001
39,37.4158255,-122.07933683333334
40,37.4158256,-122.07933416666668
41,37.41582373333333,-122.079336
42,37.41582176666667,-122.07933783333334
43,37.415819883333334,-122.07934233333332
44,37.41581965,-122.07934300000001
45,37.41581873333334,-122.07934183333333
46,37.41581911666666,-122.07934533333334
47,37.415817016666665,-122.07934483333332
48,37.41581578333333,-122.07934166666668
49,37.41581476666667,-122.079344
50,37.41581348333333,-122.079347
51,37.41581346666667,-122.07934466666666
52,37.4158119,-122.07934750000001
53,37.415810283333336,-122.07934850000001
54,37.41580723333333,-122.07935233333335
55,37.41580283333334,-122.07935083333332
56,37.41579946666666,-122.07935350000001
57,37.41579555,-122.07935283333333
58,37.41579526666667,-122.07935450000001
59,37.415795083333336,-122.07935733333333
60,37.41579535,-122.079359
61,37.41579615,-122.07936283333332
