tripId,UnixTimeMillis,LatitudeDegrees,LongitudeDegrees
2021-06-22-US-MTV-1/XiaomiMi8,1624401976999,37.379179582067,-122.07141161223
2021-08-12-US-MTV-1/GooglePixel4,1628799580634,37.3793067023907,-122.071390471381
2021-08-12-US-MTV-1/GooglePixel4,1628799581645,37.3790925284608,-122.071261465894
2021-08-12-US-MTV-1/GooglePixel4,1628799582644,37.3792078215302,-122.071467714673
2021-08-12-US-MTV-1/GooglePixel4,1628799583652,37.3790898449534,-122.071302756213
2021-08-12-US-MTV-1/GooglePixel4,1628799584647,37.3792062786911,-122.071405381573
2021-08-12-US-MTV-1/GooglePixel4,1628799585634,37.379165848014,-122.071494468915
2021-08-12-US-MTV-1/GooglePixel4,1628799586649,37.3792424782411,-122.071358421872
2021-08-12-US-MTV-1/GooglePixel4,1628799587640,37.3790901573333,-122.071451546833
2021-08-12-US-MTV-1/GooglePixel4,1628799588644,37.3792278236519,-122.07143106628
2021-08-12-US-MTV-1/GooglePixel4,1628799589642,37.3793266095,-122.071549724
2021-08-12-US-MTV-1/GooglePixel4,1628799590633,37.3792905067548,-122.071371243966
2021-08-12-US-MTV-1/GooglePixel4,1628799591651,37.3792699365,-122.0714462005
2021-08-12-US-MTV-1/GooglePixel4,1628799592639,37.3792874193333,-122.071436101167
2021-08-12-US-MTV-1/GooglePixel4,1628799593656,37.3793041465,-122.071326196667
2021-08-12-US-MTV-1/GooglePixel4,1628799594646,37.3792738796667,-122.0714766255
2021-08-12-US-MTV-1/GooglePixel4,1628799595630,37.3792745286667,-122.071441882667
2021-08-12-US-MTV-1/GooglePixel4,1628799596645,37.3792749883333,-122.071431293167
2021-08-12-US-MTV-1/GooglePixel4,1628799597638,37.3792710925,-122.071416099667
2021-08-12-US-MTV-1/GooglePixel4,1628799598654,37.3792752585,-122.071418020833
2021-08-12-US-MTV-1/GooglePixel4,1628799599645,37.3792660686667,-122.0714161935
2021-08-12-US-MTV-1/GooglePixel4,1628799600634,37.379259272,-122.071418468667
2021-08-12-US-MTV-1/GooglePixel4,1628799601653,37.3792522965,-122.071414625667
2021-08-12-US-MTV-1/GooglePixel4,1628799602645,37.379250081,-122.071413887167
2021-08-12-US-MTV-1/GooglePixel4,1628799603652,37.3792497468333,-122.0714126385
2021-08-12-US-MTV-1/GooglePixel4,1628799604647,37.3792460778333,-122.071408953
2021-08-12-US-MTV-1/GooglePixel4,1628799605631,37.379249301,-122.071400722167
2021-08-12-US-MTV-1/GooglePixel4,1628799606648,37.3792469555,-122.071400474
2021-08-12-US-MTV-1/GooglePixel4,1628799607646,37.3792486491667,-122.071403861667
2021-08-12-US-MTV-1/GooglePixel4,1628799608656,37.3792512205,-122.071400221667
2021-08-12-US-MTV-1/GooglePixel4,1628799609647,37.3792549613333,-122.071397495667
2021-08-12-US-MTV-1/GooglePixel4,1628799610633,37.3792552611667,-122.071393549
2021-08-12-US-MTV-1/GooglePixel4,1628799611649,37.3792618626667,-122.071384943
2021-08-12-US-MTV-1/GooglePixel4,1628799612642,37.3792755216667,-122.071370391167
2021-08-12-US-MTV-1/GooglePixel4,1628799613655,37.379303342,-122.071360726
2021-08-12-US-MTV-1/GooglePixel4,1628799614646,37.379346659,-122.071366292667
2021-08-12-US-MTV-1/GooglePixel4,1628799615634,37.3793889575,-122.0714110755
2021-08-12-US-MTV-1/GooglePixel4,1628799616651,37.379420412,-122.071444398333
2021-08-12-US-MTV-1/GooglePixel4,1628799617644,37.379447301,-122.071496513
2021-08-12-US-MTV-1/GooglePixel4,1628799618655,37.3794629326667,-122.071554798667
2021-08-12-US-MTV-1/GooglePixel4,1628799619646,37.3794585213333,-122.071585701667
2021-08-12-US-MTV-1/GooglePixel4,1628799620736,37.3794585213333,-122.071585701667
2021-08-12-US-MTV-1/GooglePixel4,1628799621445,37.3794788253333,-122.071622239167
2021-08-12-US-MTV-1/GooglePixel4,1628799622645,37.3794955335,-122.071647884167
2021-08-12-US-MTV-1/GooglePixel4,1628799623655,37.3795101806667,-122.0716510005
2021-08-12-US-MTV-1/GooglePixel4,1628799624646,37.3795101806667,-122.0716510005
2021-08-12-US-MTV-1/GooglePixel4,1628799625633,37.379516514,-122.071654297667
2021-08-12-US-MTV-1/GooglePixel4,1628799626650,37.379529562,-122.071651617167
2021-08-12-US-MTV-1/GooglePixel4,1628799627641,37.3795332455,-122.071671898833
2021-08-12-US-MTV-1/GooglePixel4,1628799628653,37.379537789,-122.071675168833
2021-08-12-US-MTV-1/GooglePixel4,1628799629646,37.3795564996667,-122.071677851
2021-08-12-US-MTV-1/GooglePixel4,1628799630633,37.3795508546667,-122.071673521333
2021-08-12-US-MTV-1/GooglePixel4,1628799631650,37.3795502991667,-122.071677585667
2021-08-12-US-MTV-1/GooglePixel4,1628799632644,37.3795589463333,-122.0716771215
2021-08-12-US-MTV-1/GooglePixel4,1628799633654,37.3795598938333,-122.071676307667
2021-08-12-US-MTV-1/GooglePixel4,1628799634647,37.3795596226667,-122.071673167
2021-08-12-US-MTV-1/GooglePixel4,1628799635634,37.3795685606667,-122.071677395833
2021-08-12-US-MTV-1/GooglePixel4,1628799636650,37.3795816003333,-122.071672438167
2021-08-12-US-MTV-1/GooglePixel4,1628799637639,37.3795851116667,-122.071667628167
2021-08-12-US-MTV-1/GooglePixel4,1628799639444,37.3795968211667,-122.071667576167
2021-08-12-US-MTV-1/GooglePixel4,1628799640444,37.3796010536667,-122.071666868167
2021-08-12-US-MTV-1/GooglePixel4,1628799641444,37.3796026055,-122.071670393333
2021-08-12-US-MTV-1/GooglePixel4,1628799642444,37.3795995643333,-122.071674387
2021-08-12-US-MTV-1/GooglePixel4,1628799643444,37.3795965171667,-122.071673504167
2021-08-12-US-MTV-1/GooglePixel4,1628799644444,37.3795986013333,-122.071670760667
2021-08-12-US-MTV-1/GooglePixel4,1628799645444,37.3796048008333,-122.071671408167
2021-08-12-US-MTV-1/GooglePixel4,1628799646444,37.3796059661667,-122.0716702315
2021-08-12-US-MTV-1/GooglePixel4,1628799647444,37.3796024436667,-122.071673293167
2021-08-12-US-MTV-1/GooglePixel4,1628799648444,37.3796024436667,-122.071673293167
2021-08-12-US-MTV-1/GooglePixel4,1628799649444,37.3796024436667,-122.071673293167
2021-08-12-US-MTV-1/GooglePixel4,1628799650444,37.3796014775,-122.071674279167
2021-08-12-US-MTV-1/GooglePixel4,1628799651444,37.3795930276667,-122.071675275833
2021-08-12-US-MTV-1/GooglePixel4,1628799652444,37.3795997605,-122.071675939
2021-08-12-US-MTV-1/GooglePixel4,1628799653444,37.3796051515,-122.0716724775
2021-08-12-US-MTV-1/GooglePixel4,1628799654444,37.3796086601667,-122.071669372
2021-08-12-US-MTV-1/GooglePixel4,1628799655444,37.3796109376667,-122.0716669885
2021-08-12-US-MTV-1/GooglePixel4,1628799656444,37.3796217626667,-122.071662841333
2021-08-12-US-MTV-1/GooglePixel4,1628799657444,37.3796338748333,-122.071654483667
2021-08-12-US-MTV-1/GooglePixel4,1628799658444,37.379646496,-122.071640751
2021-08-12-US-MTV-1/GooglePixel4,1628799659444,37.3796557263333,-122.071616234333
2021-08-12-US-MTV-1/GooglePixel4,1628799660444,37.3796579831667,-122.071576955167
2021-08-12-US-MTV-1/GooglePixel4,1628799661444,37.3796481523333,-122.071521348833
2021-08-12-US-MTV-1/GooglePixel4,1628799662444,37.379628221,-122.071443789333
2021-08-12-US-MTV-1/GooglePixel4,1628799663444,37.3795872478333,-122.071355912833
2021-08-12-US-MTV-1/GooglePixel4,1628799664444,37.3795427325,-122.07125627
2021-08-12-US-MTV-1/GooglePixel4,1628799665444,37.3795427325,-122.07125627
2021-08-12-US-MTV-1/GooglePixel4,1628799666444,37.3794875761667,-122.071132461
2021-08-12-US-MTV-1/GooglePixel4,1628799667444,37.3794875761667,-122.071132461
2021-08-12-US-MTV-1/GooglePixel4,1628799668444,37.3794875761667,-122.071132461
2021-08-12-US-MTV-1/GooglePixel4,1628799669444,37.37941918,-122.071001968833
2021-08-12-US-MTV-1/GooglePixel4,1628799670444,37.3793603106667,-122.070864537
2021-08-12-US-MTV-1/GooglePixel4,1628799671444,37.3792674905,-122.070718071833
2021-08-12-US-MTV-1/GooglePixel4,1628799672444,37.3791974718333,-122.070568084333
2021-08-12-US-MTV-1/GooglePixel4,1628799673444,37.3791239323333,-122.070386046333
2021-08-12-US-MTV-1/GooglePixel4,1628799674444,37.3790644461667,-122.070201614167
2021-08-12-US-MTV-1/GooglePixel4,1628799675444,37.378992062,-122.070035225167
2021-08-12-US-MTV-1/GooglePixel4,1628799676444,37.3789471921667,-122.069892177
2021-08-12-US-MTV-1/GooglePixel4,1628799677444,37.3788808103333,-122.069737260833
2021-08-12-US-MTV-1/GooglePixel4,1628799678444,37.3788266916667,-122.069613062333
2021-08-12-US-MTV-1/GooglePixel4,1628799679444,37.3787734388333,-122.069502331333
2021-08-12-US-MTV-1/GooglePixel4,1628799680444,37.3787192325,-122.069387816833
2021-08-12-US-MTV-1/GooglePixel4,1628799681444,37.3786699598333,-122.0692859105
2021-08-12-US-MTV-1/GooglePixel4,1628799682444,37.378633591,-122.069230341167
2021-08-12-US-MTV-1/GooglePixel4,1628799683444,37.378633591,-122.069230341167
2021-08-12-US-MTV-1/GooglePixel4,1628799684663,37.3785839718333,-122.069229350667
2021-08-12-US-MTV-1/GooglePixel4,1628799685645,37.378517296,-122.069232284
2021-08-12-US-MTV-1/GooglePixel4,1628799686636,37.378454455,-122.0692841455
2021-08-12-US-MTV-1/GooglePixel4,1628799687658,37.3783858278333,-122.069308468667
2021-08-12-US-MTV-1/GooglePixel4,1628799688647,37.3782941111667,-122.069310396833
2021-08-12-US-MTV-1/GooglePixel4,1628799689658,37.3781959058333,-122.0693423045
